ORDER_ID,PRODUCT_ID,UNIT_PRICE,QUANTITY,DISCOUNT
10294,1,14.40,18,0.00
10294,17,31.20,15,0.00
10294,43,36.80,15,0.00
10294,60,27.20,21,0.00
10294,75,6.20,6,0.00
10295,56,30.40,4,0.00
10296,11,16.80,12,0.00
10296,16,13.90,30,0.00
10296,69,28.80,15,0.00
10297,39,14.40,60,0.00
10297,72,27.80,20,0.00
10298,2,15.20,40,0.00
10298,36,15.20,40,0.25
10298,59,44.00,30,0.25
10298,62,39.40,15,0.00
10299,19,7.30,15,0.00
10299,70,12.00,20,0.00
10300,66,13.60,30,0.00
10300,68,10.00,20,0.00
10301,40,14.70,10,0.00
10301,56,30.40,20,0.00
10302,17,31.20,40,0.00
10302,28,36.40,28,0.00
10302,43,36.80,12,0.00
10303,40,14.70,40,0.10
10303,65,16.80,30,0.10
10303,68,10.00,15,0.10
10304,49,16.00,30,0.00
10304,59,44.00,10,0.00
10304,71,17.20,2,0.00
10305,18,50.00,25,0.10
10305,29,99.00,25,0.10
10305,39,14.40,30,0.10
10306,30,20.70,10,0.00
10306,53,26.20,10,0.00
10306,54,5.90,5,0.00
10307,62,39.40,10,0.00
10307,68,10.00,3,0.00
10308,69,28.80,1,0.00
10308,70,12.00,5,0.00
10309,4,17.60,20,0.00
10309,6,20.00,30,0.00
10309,42,11.20,2,0.00
10309,43,36.80,20,0.00
10309,71,17.20,3,0.00
10310,16,13.90,10,0.00
10310,62,39.40,5,0.00
10311,42,11.20,6,0.00
10311,69,28.80,7,0.00
10312,28,36.40,4,0.00
10312,43,36.80,24,0.00
10312,53,26.20,20,0.00
10312,75,6.20,10,0.00
10313,36,15.20,12,0.00
10314,32,25.60,40,0.10
10314,58,10.60,30,0.10
10314,62,39.40,25,0.10
10315,34,11.20,14,0.00
10315,70,12.00,30,0.00
10316,41,7.70,10,0.00
10316,62,39.40,70,0.00
10317,1,14.40,20,0.00
10318,41,7.70,20,0.00
10318,76,14.40,6,0.00
10319,17,31.20,8,0.00
10319,28,36.40,14,0.00
10319,76,14.40,30,0.00
10320,71,17.20,30,0.00
10321,35,14.40,10,0.00
10322,52,5.60,20,0.00
10323,15,12.40,5,0.00
10323,25,11.20,4,0.00
10323,39,14.40,4,0.00
10324,16,13.90,21,0.15
10324,35,14.40,70,0.15
10324,46,9.60,30,0.00
10324,59,44.00,40,0.15
10324,63,35.10,80,0.15
10325,6,20.00,6,0.00
10325,13,4.80,12,0.00
10325,14,18.60,9,0.00
10325,31,10.00,4,0.00
10325,72,27.80,40,0.00
10326,4,17.60,24,0.00
10326,57,15.60,16,0.00
10326,75,6.20,50,0.00
10327,2,15.20,25,0.20
10327,11,16.80,50,0.20
10327,30,20.70,35,0.20
10327,58,10.60,30,0.20
10328,59,44.00,9,0.00
10328,65,16.80,40,0.00
10328,68,10.00,10,0.00
10329,19,7.30,10,0.05
10329,30,20.70,8,0.05
10329,38,210.80,20,0.05
10329,56,30.40,12,0.05
10330,26,24.90,50,0.15
10330,72,27.80,25,0.15
10331,54,5.90,15,0.00
10332,18,50.00,40,0.20
10332,42,11.20,10,0.20
10332,47,7.60,16,0.20
10333,14,18.60,10,0.00
10333,21,8.00,10,0.10
10333,71,17.20,40,0.10
10334,52,5.60,8,0.00
10334,68,10.00,10,0.00
10335,2,15.20,7,0.20
10335,31,10.00,25,0.20
10335,32,25.60,6,0.20
10335,51,42.40,48,0.20
10336,4,17.60,18,0.10
10337,23,7.20,40,0.00
10337,26,24.90,24,0.00
10337,36,15.20,20,0.00
10337,37,20.80,28,0.00
10337,72,27.80,25,0.00
10338,17,31.20,20,0.00
10338,30,20.70,15,0.00
10339,4,17.60,10,0.00
10339,17,31.20,70,0.05
10339,62,39.40,28,0.00
10340,18,50.00,20,0.05
10340,41,7.70,12,0.05
10340,43,36.80,40,0.05
10341,33,2.00,8,0.00
10341,59,44.00,9,0.15
10342,2,15.20,24,0.20
10342,31,10.00,56,0.20
10342,36,15.20,40,0.20
10342,55,19.20,40,0.20
10343,64,26.60,50,0.00
10343,68,10.00,4,0.05
10343,76,14.40,15,0.00
10344,4,17.60,35,0.00
10344,8,32.00,70,0.25
10345,8,32.00,70,0.00
10345,19,7.30,80,0.00
10345,42,11.20,9,0.00
10346,17,31.20,36,0.10
10346,56,30.40,20,0.00
10347,25,11.20,10,0.00
10347,39,14.40,50,0.15
10347,40,14.70,4,0.00
10347,75,6.20,6,0.15
10348,1,14.40,15,0.15
10348,23,7.20,25,0.00
10349,54,5.90,24,0.00
10350,50,13.00,15,0.10
10350,69,28.80,18,0.10
10351,38,210.80,20,0.05
10351,41,7.70,13,0.00
10351,44,15.50,77,0.05
10351,65,16.80,10,0.05
10352,24,3.60,10,0.00
10352,54,5.90,20,0.15
10353,11,16.80,12,0.20
10353,38,210.80,50,0.20
10354,1,14.40,12,0.00
10354,29,99.00,4,0.00
10355,24,3.60,25,0.00
10355,57,15.60,25,0.00
10356,31,10.00,30,0.00
10356,55,19.20,12,0.00
10356,69,28.80,20,0.00
10357,10,24.80,30,0.20
10357,26,24.90,16,0.00
10357,60,27.20,8,0.20
10358,24,3.60,10,0.05
10358,34,11.20,10,0.05
10358,36,15.20,20,0.05
10359,16,13.90,56,0.05
10359,31,10.00,70,0.05
10359,60,27.20,80,0.05
10360,28,36.40,30,0.00
10360,29,99.00,35,0.00
10360,38,210.80,10,0.00
10360,49,16.00,35,0.00
10360,54,5.90,28,0.00
10361,39,14.40,54,0.10
10361,60,27.20,55,0.10
10362,25,11.20,50,0.00
10362,51,42.40,20,0.00
10362,54,5.90,24,0.00
10363,31,10.00,20,0.00
10363,75,6.20,12,0.00
10363,76,14.40,12,0.00
10364,69,28.80,30,0.00
10364,71,17.20,5,0.00
10365,11,16.80,24,0.00
10366,65,16.80,5,0.00
10366,77,10.40,5,0.00
10367,34,11.20,36,0.00
10367,54,5.90,18,0.00
10367,65,16.80,15,0.00
10367,77,10.40,7,0.00
10368,21,8.00,5,0.10
10368,28,36.40,13,0.10
10368,57,15.60,25,0.00
10368,64,26.60,35,0.10
10369,29,99.00,20,0.00
10369,56,30.40,18,0.25
10370,1,14.40,15,0.15
10370,64,26.60,30,0.00
10370,74,8.00,20,0.15
10371,36,15.20,6,0.20
10372,20,64.80,12,0.25
10372,38,210.80,40,0.25
10372,60,27.20,70,0.25
10372,72,27.80,42,0.25
10373,58,10.60,80,0.20
10373,71,17.20,50,0.20
10374,31,10.00,30,0.00
10374,58,10.60,15,0.00
10375,14,18.60,15,0.00
10375,54,5.90,10,0.00
10376,31,10.00,42,0.05
10377,28,36.40,20,0.15
10377,39,14.40,20,0.15
10378,71,17.20,6,0.00
10379,41,7.70,8,0.10
10379,63,35.10,16,0.10
10379,65,16.80,20,0.10
10380,30,20.70,18,0.10
10380,53,26.20,20,0.10
10380,60,27.20,6,0.10
10380,70,12.00,30,0.00
10381,74,8.00,14,0.00
10382,5,17.00,32,0.00
10382,18,50.00,9,0.00
10382,29,99.00,14,0.00
10382,33,2.00,60,0.00
10382,74,8.00,50,0.00
10383,13,4.80,20,0.00
10383,50,13.00,15,0.00
10383,56,30.40,20,0.00
10384,20,64.80,28,0.00
10384,60,27.20,15,0.00
10385,7,24.00,10,0.20
10385,60,27.20,20,0.20
10385,68,10.00,8,0.20
10386,24,3.60,15,0.00
10386,34,11.20,10,0.00
10387,24,3.60,15,0.00
10387,28,36.40,6,0.00
10387,59,44.00,12,0.00
10387,71,17.20,15,0.00
10388,45,7.60,15,0.20
10388,52,5.60,20,0.20
10388,53,26.20,40,0.00
10389,10,24.80,16,0.00
10389,55,19.20,15,0.00
10389,62,39.40,20,0.00
10389,70,12.00,30,0.00
10390,31,10.00,60,0.10
10390,35,14.40,40,0.10
10390,46,9.60,45,0.00
10390,72,27.80,24,0.10
10391,13,4.80,18,0.00
10392,69,28.80,50,0.00
10393,2,15.20,25,0.25
10393,14,18.60,42,0.25
10393,25,11.20,7,0.25
10393,26,24.90,70,0.25
10393,31,10.00,32,0.00
10394,13,4.80,10,0.00
10394,62,39.40,10,0.00
10395,46,9.60,28,0.10
10395,53,26.20,70,0.10
10395,69,28.80,8,0.00
10396,23,7.20,40,0.00
10396,71,17.20,60,0.00
10396,72,27.80,21,0.00
10397,21,8.00,10,0.15
10397,51,42.40,18,0.15
10398,35,14.40,30,0.00
10398,55,19.20,120,0.10
10399,68,10.00,60,0.00
10399,71,17.20,30,0.00
10399,76,14.40,35,0.00
10399,77,10.40,14,0.00
10400,29,99.00,21,0.00
10400,35,14.40,35,0.00
10400,49,16.00,30,0.00
10401,30,20.70,18,0.00
10401,56,30.40,70,0.00
10401,65,16.80,20,0.00
10401,71,17.20,60,0.00
10402,23,7.20,60,0.00
10402,63,35.10,65,0.00
10403,16,13.90,21,0.15
10403,48,10.20,70,0.15
10404,26,24.90,30,0.05
10404,42,11.20,40,0.05
10404,49,16.00,30,0.05
10405,3,8.00,50,0.00
10406,1,14.40,10,0.00
10406,21,8.00,30,0.10
10406,28,36.40,42,0.10
10406,36,15.20,5,0.10
10406,40,14.70,2,0.10
10407,11,16.80,30,0.00
10407,69,28.80,15,0.00
10407,71,17.20,15,0.00
10408,37,20.80,10,0.00
10408,54,5.90,6,0.00
10408,62,39.40,35,0.00
10409,14,18.60,12,0.00
10409,21,8.00,12,0.00
10410,33,2.00,49,0.00
10410,59,44.00,16,0.00
10411,41,7.70,25,0.20
10411,44,15.50,40,0.20
10411,59,44.00,9,0.20
10412,14,18.60,20,0.10
10413,1,14.40,24,0.00
10413,62,39.40,40,0.00
10413,76,14.40,14,0.00
10414,19,7.30,18,0.05
10414,33,2.00,50,0.00
10415,17,31.20,2,0.00
10415,33,2.00,20,0.00
10416,19,7.30,20,0.00
10416,53,26.20,10,0.00
10416,57,15.60,20,0.00
10417,38,210.80,50,0.00
10417,46,9.60,2,0.25
10417,68,10.00,36,0.25
10417,77,10.40,35,0.00
10418,2,15.20,60,0.00
10418,47,7.60,55,0.00
10418,61,22.80,16,0.00
10418,74,8.00,15,0.00
10419,60,27.20,60,0.05
10419,69,28.80,20,0.05
10420,9,77.60,20,0.10
10420,13,4.80,2,0.10
10420,70,12.00,8,0.10
10420,73,12.00,20,0.10
10421,19,7.30,4,0.15
10421,26,24.90,30,0.00
10421,53,26.20,15,0.15
10421,77,10.40,10,0.15
10422,26,24.90,2,0.00
10423,31,10.00,14,0.00
10423,59,44.00,20,0.00
10424,35,14.40,60,0.20
10424,38,210.80,49,0.20
10424,68,10.00,30,0.20
10425,55,19.20,10,0.25
10425,76,14.40,20,0.25
10426,56,30.40,5,0.00
10426,64,26.60,7,0.00
10427,14,18.60,35,0.00
10428,46,9.60,20,0.00
10429,50,13.00,40,0.00
10429,63,35.10,35,0.25
10430,17,31.20,45,0.20
10430,21,8.00,50,0.00
10430,56,30.40,30,0.00
10430,59,44.00,70,0.20
10431,17,31.20,50,0.25
10431,40,14.70,50,0.25
10431,47,7.60,30,0.25
10432,26,24.90,10,0.00
10432,54,5.90,40,0.00
10433,56,30.40,28,0.00
10434,11,16.80,6,0.00
10434,76,14.40,18,0.15
10435,2,15.20,10,0.00
10435,22,16.80,12,0.00
10435,72,27.80,10,0.00
10436,46,9.60,5,0.00
10436,56,30.40,40,0.10
10436,64,26.60,30,0.10
10436,75,6.20,24,0.10
10437,53,26.20,15,0.00
10438,19,7.30,15,0.20
10438,34,11.20,20,0.20
10438,57,15.60,15,0.20
10439,12,30.40,15,0.00
10439,16,13.90,16,0.00
10439,64,26.60,6,0.00
10439,74,8.00,30,0.00
10440,2,15.20,45,0.15
10440,16,13.90,49,0.15
10440,29,99.00,24,0.15
10440,61,22.80,90,0.15
10441,27,35.10,50,0.00
10442,11,16.80,30,0.00
10442,54,5.90,80,0.00
10442,66,13.60,60,0.00
10443,11,16.80,6,0.20
10443,28,36.40,12,0.00
10444,17,31.20,10,0.00
10444,26,24.90,15,0.00
10444,35,14.40,8,0.00
10444,41,7.70,30,0.00
10445,39,14.40,6,0.00
10445,54,5.90,15,0.00
10446,19,7.30,12,0.10
10446,24,3.60,20,0.10
10446,31,10.00,3,0.10
10446,52,5.60,15,0.10
10447,19,7.30,40,0.00
10447,65,16.80,35,0.00
10447,71,17.20,2,0.00
10448,26,24.90,6,0.00
10448,40,14.70,20,0.00
10449,10,24.80,14,0.00
10449,52,5.60,20,0.00
10449,62,39.40,35,0.00
10450,10,24.80,20,0.20
10450,54,5.90,6,0.20
10451,55,19.20,120,0.10
10451,64,26.60,35,0.10
10451,65,16.80,28,0.10
10451,77,10.40,55,0.10
10452,28,36.40,15,0.00
10452,44,15.50,100,0.05
10453,48,10.20,15,0.10
10453,70,12.00,25,0.10
10454,16,13.90,20,0.20
10454,33,2.00,20,0.20
10454,46,9.60,10,0.20
10455,39,14.40,20,0.00
10455,53,26.20,50,0.00
10455,61,22.80,25,0.00
10455,71,17.20,30,0.00
10456,21,8.00,40,0.15
10456,49,16.00,21,0.15
10457,59,44.00,36,0.00
10458,26,24.90,30,0.00
10458,28,36.40,30,0.00
10458,43,36.80,20,0.00
10458,56,30.40,15,0.00
10458,71,17.20,50,0.00
10459,7,24.00,16,0.05
10459,46,9.60,20,0.05
10459,72,27.80,40,0.00
10460,68,10.00,21,0.25
10460,75,6.20,4,0.25
10461,21,8.00,40,0.25
10461,30,20.70,28,0.25
10461,55,19.20,60,0.25
10462,13,4.80,1,0.00
10462,23,7.20,21,0.00
10463,19,7.30,21,0.00
10463,42,11.20,50,0.00
10464,4,17.60,16,0.20
10464,43,36.80,3,0.00
10464,56,30.40,30,0.20
10464,60,27.20,20,0.00
10465,24,3.60,25,0.00
10465,29,99.00,18,0.10
10465,40,14.70,20,0.00
10465,45,7.60,30,0.10
10465,50,13.00,25,0.00
10466,11,16.80,10,0.00
10466,46,9.60,5,0.00
10467,24,3.60,28,0.00
10467,25,11.20,12,0.00
10468,30,20.70,8,0.00
10468,43,36.80,15,0.00
10469,2,15.20,40,0.15
10469,16,13.90,35,0.15
10469,44,15.50,2,0.15
10470,18,50.00,30,0.00
10470,23,7.20,15,0.00
10470,64,26.60,8,0.00
10471,7,24.00,30,0.00
10471,56,30.40,20,0.00
10472,24,3.60,80,0.05
10472,51,42.40,18,0.00
10473,33,2.00,12,0.00
10473,71,17.20,12,0.00
10474,14,18.60,12,0.00
10474,28,36.40,18,0.00
10474,40,14.70,21,0.00
10474,75,6.20,10,0.00
10475,31,10.00,35,0.15
10475,66,13.60,60,0.15
10475,76,14.40,42,0.15
10476,55,19.20,2,0.05
10476,70,12.00,12,0.00
10477,1,14.40,15,0.00
10477,21,8.00,21,0.25
10477,39,14.40,20,0.25
10478,10,24.80,20,0.05
10479,38,210.80,30,0.00
10479,53,26.20,28,0.00
10479,59,44.00,60,0.00
10479,64,26.60,30,0.00
10480,47,7.60,30,0.00
10480,59,44.00,12,0.00
10481,49,16.00,24,0.00
10481,60,27.20,40,0.00
10482,40,14.70,10,0.00
10483,34,11.20,35,0.05
10483,77,10.40,30,0.05
10484,21,8.00,14,0.00
10484,40,14.70,10,0.00
10484,51,42.40,3,0.00
10485,2,15.20,20,0.10
10485,3,8.00,20,0.10
10485,55,19.20,30,0.10
10485,70,12.00,60,0.10
10486,11,16.80,5,0.00
10486,51,42.40,25,0.00
10486,74,8.00,16,0.00
10487,19,7.30,5,0.00
10487,26,24.90,30,0.00
10487,54,5.90,24,0.25
10488,59,44.00,30,0.00
10488,73,12.00,20,0.20
10489,11,16.80,15,0.25
10489,16,13.90,18,0.00
10490,59,44.00,60,0.00
10490,68,10.00,30,0.00
10490,75,6.20,36,0.00
10491,44,15.50,15,0.15
10491,77,10.40,7,0.15
10492,25,11.20,60,0.05
10492,42,11.20,20,0.05
10493,65,16.80,15,0.10
10493,66,13.60,10,0.10
10493,69,28.80,10,0.10
10494,56,30.40,30,0.00
10495,23,7.20,10,0.00
10495,41,7.70,20,0.00
10495,77,10.40,5,0.00
10496,31,10.00,20,0.05
10497,56,30.40,14,0.00
10497,72,27.80,25,0.00
10497,77,10.40,25,0.00
10498,24,4.50,14,0.00
10498,40,18.40,5,0.00
10498,42,14.00,30,0.00
10499,28,45.60,20,0.00
10499,49,20.00,25,0.00
10500,15,15.50,12,0.05
10500,28,45.60,8,0.05
